Age32-40, State-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Male,Hour21-35, United-States, <=50K
Age41-50, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Some-college,EduNum10, Divorced, Exec-managerial, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, ?, Assoc-voc,EduNum11, Never-married, ?, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Divorced, Handlers-cleaners, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Male,Hour21-35, ?, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, Masters,EduNum14, Divorced, Prof-specialty, Unmarried, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Sales, Unmarried, White, Male,Hour51-70, United-States, >50K
Age17-23, Private, 10th,EduNum6, Never-married, Machine-op-inspct, Own-child, White, Male,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Divorced, Sales, Own-child, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, <=50K
Age51-60, Private, Assoc-acdm,EduNum12, Divorced, Prof-specialty, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Craft-repair, Unmarried, Amer-Indian-Eskimo, Male,Hour36-50, Mexico, <=50K
Age41-50, Federal-gov, HS-grad,EduNum9, Divorced, Adm-clerical, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour51-70, United-States, >50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Female,Hour21-35, United-States, <=50K
Age17-23, State-gov, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Widowed, Handlers-cleaners, Unmarried, White, Male,Hour36-50, ?, <=50K
Age61-70, ?, 11th,EduNum7, Married-civ-spouse, ?, Husband, White, Male,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Machine-op-inspct, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age51-60, Private, Bachelors,EduNum13, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Exec-managerial, Own-child, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour1-20, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, Black, Female,Hour1-20, United-States, <=50K
Age61-70, ?, Preschool,EduNum1, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, ?, <=50K
Age32-40, Private, Some-college,EduNum10, Separated, Machine-op-inspct, Not-in-family, White, Male,Hour51-70, United-States, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Not-in-family, White, Female,Hour51-70, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, Some-college,EduNum10, Never-married, Other-service, Not-in-family, White, Female,Hour71-99, United-States, <=50K
Age17-23, Private, Assoc-acdm,EduNum12, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Exec-managerial, Own-child, White, Female,Hour21-35, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Local-gov, Masters,EduNum14, Divorced, Prof-specialty, Unmarried, White, Female,Hour51-70, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, White, Female,Hour1-20, United-States, <=50K
Age61-70, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Female,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, Other, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Separated, Machine-op-inspct, Own-child, Black, Female,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Divorced, Prof-specialty, Unmarried, Black, Male,Hour36-50, United-States, <=50K
Age61-70, ?, 11th,EduNum7, Married-civ-spouse, ?, Husband, White, Male,Hour36-50, Mexico, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Farming-fishing, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Wife, Black, Female,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age61-70, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age32-40, Private, 7th-8th,EduNum4, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, Bachelors,EduNum13, Never-married, Tech-support, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age61-70, Self-emp-not-inc, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour21-35, China, >50K
Age32-40, Self-emp-not-inc, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age32-40, Private, Some-college,EduNum10, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, 7th-8th,EduNum4, Never-married, Sales, Other-relative, White, Male,Hour36-50, Guatemala, <=50K
Age41-50, Self-emp-inc, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Private, Some-college,EduNum10, Never-married, Adm-clerical, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age61-70, Private, HS-grad,EduNum9, Married-civ-spouse, Adm-clerical, Husband, Asian-Pac-Islander, Male,Hour36-50, Vietnam, <=50K
Age24-31, Local-gov, Some-college,EduNum10, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour51-70, United-States, <=50K
Age24-31, Private, 11th,EduNum7, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, United-States, <=50K
Age32-40, State-gov, Bachelors,EduNum13, Divorced, Protective-serv, Not-in-family, White, Male,Hour36-50, Mexico, >50K
Age41-50, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Other-service, Own-child, Black, Male,Hour21-35, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour1-20, United-States, <=50K
Age24-31, Private, Doctorate,EduNum16, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Tech-support, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Wife, White, Female,Hour36-50, United-States, >50K
Age51-60, Private, HS-grad,EduNum9, Widowed, Sales, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Divorced, Craft-repair, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Male,Hour1-20, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Widowed, Machine-op-inspct, Not-in-family, Black, Female,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Handlers-cleaners, Own-child, White, Male,Hour1-20, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Separated, Sales, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,Hour36-50, Dominican-Republic, <=50K
Age24-31, Private, Some-college,EduNum10, Divorced, Sales, Own-child, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Divorced, Tech-support, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Female,Hour21-35, United-States, <=50K
Age51-60, State-gov, HS-grad,EduNum9, Married-spouse-absent, Other-service, Unmarried, Black, Female,Hour36-50, Honduras, <=50K
Age41-50, State-gov, Bachelors,EduNum13, Divorced, Protective-serv, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, 10th,EduNum6, Divorced, Transport-moving, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, Other, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Married-civ-spouse, Other-service, Wife, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Separated, Handlers-cleaners, Other-relative, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Tech-support, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Local-gov, Bachelors,EduNum13, Never-married, Adm-clerical, Not-in-family, Black, Female,Hour36-50, United-States, <=50K
Age17-23, Federal-gov, HS-grad,EduNum9, Never-married, Adm-clerical, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Male,Hour36-50, Japan, <=50K
Age51-60, Private, Bachelors,EduNum13, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Farming-fishing, Unmarried, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour36-50, United-States, >50K
Age41-50, Private, Some-college,EduNum10, Divorced, Craft-repair, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, 11th,EduNum7, Never-married, Handlers-cleaners, Own-child, White, Male,Hour1-20, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Sales, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour36-50, ?, >50K
Age32-40, Private, 11th,EduNum7, Married-civ-spouse, Machine-op-inspct, Wife, White, Female,Hour36-50, United-States, <=50K
Age32-40, State-gov, HS-grad,EduNum9, Never-married, Tech-support, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, State-gov, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour71-99, India, >50K
Age24-31, Private, HS-grad,EduNum9, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Sales, Husband, White, Male,Hour51-70, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Federal-gov, Assoc-acdm,EduNum12, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, 10th,EduNum6, Separated, Sales, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Some-college,EduNum10, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, Prof-school,EduNum15, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age41-50, Private, Some-college,EduNum10, Never-married, Other-service, Not-in-family, White, Female,Hour51-70, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour36-50, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Separated, Machine-op-inspct, Own-child, White, Female,Hour36-50, United-States, <=50K
Age41-50, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour21-35, United-States, <=50K
Age41-50, State-gov, Doctorate,EduNum16, Never-married, Exec-managerial, Not-in-family, White, Female,Hour36-50, Italy, >50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Exec-managerial, Not-in-family, White, Male,Hour51-70, United-States, <=50K
Age32-40, Local-gov, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour21-35, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-spouse-absent, Sales, Not-in-family, Black, Female,Hour36-50, United-States, <=50K
Age24-31, Federal-gov, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Never-married, Sales, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Self-emp-inc, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Federal-gov, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, ?, <=50K
Age51-60, State-gov, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour36-50, India, >50K
Age41-50, Self-emp-inc, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour36-50, United-States, >50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Other-service, Husband, White, Male,Hour36-50, Yugoslavia, >50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Local-gov, Some-college,EduNum10, Never-married, Adm-clerical, Other-relative, Black, Male,Hour36-50, Haiti, <=50K
Age32-40, State-gov, Bachelors,EduNum13, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour51-70, United-States, >50K
Age24-31, ?, HS-grad,EduNum9, Never-married, ?, Own-child, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, 11th,EduNum7, Never-married, Other-service, Not-in-family, White, Female,Hour36-50, Ireland, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour36-50, United-States, >50K
Age17-23, Private, Assoc-acdm,EduNum12, Never-married, Adm-clerical, Own-child, White, Male,Hour21-35, United-States, <=50K
Age24-31, State-gov, Doctorate,EduNum16, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, >50K
Age61-70, Private, HS-grad,EduNum9, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age17-23, Self-emp-not-inc, Some-college,EduNum10, Never-married, Other-service, Own-child, White, Male,Hour21-35, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, 1st-4th,EduNum2, Separated, Prof-specialty, Unmarried, Black, Female,Hour36-50, United-States, <=50K
Age61-70, ?, HS-grad,EduNum9, Married-civ-spouse, ?, Wife, White, Female,Hour1-20, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Transport-moving, Own-child, White, Male,Hour21-35, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Tech-support, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Wife, White, Female,Hour36-50, United-States, <=50K
Age41-50, Private, Assoc-voc,EduNum11, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States, >50K
Age32-40, Local-gov, Bachelors,EduNum13, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Bachelors,EduNum13, Never-married, Craft-repair, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, 7th-8th,EduNum4, Never-married, Machine-op-inspct, Other-relative, White, Female,Hour51-70, Mexico, <=50K
Age32-40, Private, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Other-relative, White, Male,Hour36-50, United-States, >50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Other-service, Wife, Asian-Pac-Islander, Female,Hour1-20, Philippines, <=50K
Age61-70, Private, HS-grad,EduNum9, Divorced, Machine-op-inspct, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age51-60, Local-gov, 11th,EduNum7, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour1-20, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age17-23, Private, HS-grad,EduNum9, Never-married, Craft-repair, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age24-31, Private, HS-grad,EduNum9, Never-married, Priv-house-serv, Other-relative, White, Female,Hour1-20, Mexico, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Adm-clerical, Not-in-family, White, Male,Hour1-20, United-States, <=50K
Age61-70, Self-emp-inc, Masters,EduNum14, Married-civ-spouse, Sales, Husband, White, Male,Hour36-50, United-States, >50K
Age24-31, Private, HS-grad,EduNum9, Divorced, Sales, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age41-50, Private, 1st-4th,EduNum2, Separated, Machine-op-inspct, Own-child, White, Female,Hour36-50, Guatemala, <=50K
Age32-40, State-gov, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,Hour36-50, Taiwan, <=50K
Age17-23, Private, 7th-8th,EduNum4, Never-married, Machine-op-inspct, Other-relative, White, Male,Hour36-50, United-States, <=50K
Age24-31, ?, Some-college,EduNum10, Never-married, ?, Other-relative, White, Female,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Prof-specialty, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age51-60, Private, HS-grad,EduNum9, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, State-gov, Some-college,EduNum10, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Male,Hour36-50, United-States, <=50K
Age32-40, State-gov, Assoc-acdm,EduNum12, Divorced, Protective-serv, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age51-60, State-gov, Doctorate,EduNum16, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, ?, >50K
Age41-50, Private, 7th-8th,EduNum4, Divorced, Machine-op-inspct, Not-in-family, Black, Female,Hour21-35, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Never-married, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, <=50K
Age32-40, State-gov, Masters,EduNum14, Married-civ-spouse, Protective-serv, Husband, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Handlers-cleaners, Not-in-family, White, Male,Hour21-35, United-States, <=50K
Age51-60, Self-emp-not-inc, HS-grad,EduNum9, Married-civ-spouse, Exec-managerial, Husband, Black, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Sales, Own-child, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, 10th,EduNum6, Married-civ-spouse, Craft-repair, Husband, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Assoc-voc,EduNum11, Divorced, Craft-repair, Unmarried, White, Female,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Sales, Wife, White, Female,Hour36-50, United-States, >50K
Age41-50, Self-emp-not-inc, Prof-school,EduNum15, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour51-70, United-States, >50K
Age24-31, Private, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Husband, White, Male,Hour51-70, United-States, <=50K
Age32-40, Self-emp-not-inc, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour51-70, United-States, >50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Male,Hour21-35, United-States, <=50K
Age41-50, Local-gov, Some-college,EduNum10, Married-civ-spouse, Protective-serv, Husband, White, Male,Hour36-50, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Private, 10th,EduNum6, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour21-35, United-States, >50K
Age41-50, Private, Some-college,EduNum10, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,Hour36-50, United-States, <=50K
Age17-23, Private, Some-college,EduNum10, Never-married, Machine-op-inspct, Not-in-family, Asian-Pac-Islander, Female,Hour36-50, ?, <=50K
Age41-50, Private, HS-grad,EduNum9, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age41-50, Local-gov, Bachelors,EduNum13, Divorced, Adm-clerical, Not-in-family, White, Female,Hour36-50, United-States, >50K
Age24-31, State-gov, Some-college,EduNum10, Married-civ-spouse, Other-service, Wife, White, Female,Hour1-20, United-States, <=50K
Age41-50, Private, Bachelors,EduNum13, Divorced, Adm-clerical, Not-in-family, White, Male,Hour36-50, United-States, <=50K
Age32-40, Local-gov, Some-college,EduNum10, Divorced, Protective-serv, Unmarried, White, Male,Hour51-70, United-States, <=50K
Age32-40, Private, HS-grad,EduNum9, Divorced, Craft-repair, Not-in-family, White, Male,Hour36-50, United-States, >50K
Age17-23, ?, Some-college,EduNum10, Never-married, ?, Own-child, White, Male,Hour51-70, United-States, <=50K
Age41-50, Private, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour36-50, United-States, >50K
Age51-60, Private, Assoc-acdm,EduNum12, Married-civ-spouse, Adm-clerical, Husband, White, Male,Hour21-35, United-States, <=50K
Age32-40, Self-emp-inc, Some-college,EduNum10, Married-civ-spouse, Transport-moving, Husband, White, Male,Hour51-70, United-States, >50K
Age41-50, Local-gov, Assoc-acdm,EduNum12, Divorced, Tech-support, Not-in-family, Black, Male,Hour36-50, United-States, <=50K
Age32-40, Private, 10th,EduNum6, Married-civ-spouse, Craft-repair, Husband, White, Male,Hour36-50, United-States, <=50K
Age24-31, Private, Bachelors,EduNum13, Never-married, Adm-clerical, Own-child, White, Female,Hour36-50, Portugal, <=50K
Age41-50, Local-gov, Masters,EduNum14, Married-civ-spouse, Prof-specialty, Husband, White, Male,Hour21-35, United-States, >50K
Age17-23, Private, 11th,EduNum7, Never-married, Handlers-cleaners, Own-child, White, Male,Hour1-20, United-States, <=50K
Age41-50, Private, 12th,EduNum8, Married-civ-spouse, Other-service, Wife, White, Female,Hour1-20, United-States, <=50K
Age32-40, Private, Some-college,EduNum10, Married-civ-spouse, Exec-managerial, Wife, White, Female,Hour36-50, United-States, >50K
Age51-60, Private, 10th,EduNum6, Separated, Other-service, Unmarried, White, Female,Hour21-35, United-States, <=50K
Age24-31, Private, Some-college,EduNum10, Never-married, Adm-clerical, Own-child, White, Male,Hour36-50, United-States, <=50K
Age24-31, Self-emp-not-inc, 11th,EduNum7, Never-married, Sales, Own-child, White, Male,Hour36-50, United-States, <=50K
Age17-23, Private, 7th-8th,EduNum4, Never-married, Transport-moving, Unmarried, White, Male,Hour21-35, Guatemala, <=50K
